Test Size,Replication,RMSE,MAPE
0.1,1,477.54020046968304,59.61659439217637
0.1,2,486.5103070106243,51.61340346832623
0.1,3,444.81983843153125,66.35450253578551
0.1,4,537.1655965830221,39.038216083166745
0.1,5,477.0628910485729,45.14256978557902
0.1,6,357.9314285389188,42.2156039595894
0.1,7,474.87563407837104,38.01337182461604
0.1,8,487.98568367839636,47.38494411344906
0.1,9,430.5409546805144,51.117434543204055
0.1,10,317.8927484658552,30.763567947192694
0.1,11,364.81901132842665,42.676911746759195
0.1,12,379.7722578829322,34.910069426313754
0.1,13,484.923811941592,43.49070496689523
0.1,14,432.2017500589598,40.4543074935024
0.1,15,377.7699213739506,38.826421591914
0.1,16,416.41466803832145,30.586923916552184
0.1,17,345.9525648155455,38.24926996173957
0.1,18,479.68194874488063,31.686271888352223
0.1,19,420.41562621990784,58.74582989980189
0.1,20,414.01923082015344,57.89270811773963
0.1,21,618.4489014628431,40.245927106700755
0.1,22,464.4304970163481,44.68477420364398
0.1,23,359.0348806001667,26.313156559005947
0.1,24,377.44931526778043,56.646963272051806
0.1,25,271.2765086680652,27.007407341649962
0.1,26,551.4879040459728,49.139222873456525
0.1,27,417.1733476461138,47.76581955757165
0.1,28,622.7038060790209,43.91674276111435
0.1,29,393.3262741796225,37.63326860378448
0.1,30,510.7577010613655,28.14415015812025
0.1,31,436.13617698885537,35.932070165814416
0.1,32,572.6535635876521,40.60353824319206
0.1,33,347.4405130068832,28.19745012313427
0.1,34,391.828903304167,43.54652078357602
0.1,35,683.7136490346385,68.61031275389527
0.1,36,378.8523367262799,63.540009515907656
0.1,37,389.0737414004091,64.01195731895304
0.1,38,547.1507816726175,63.6503460284158
0.1,39,642.6528692905058,65.11982714178204
0.1,40,539.1086305182788,28.427181991736962
0.1,41,631.8960338666906,52.73021065578853
0.1,42,447.0599949689203,62.47829127625961
0.2,1,439.9387451022665,46.84934367630954
0.2,2,458.6966133771182,54.74518303939192
0.2,3,465.8142241593173,59.669401382984134
0.2,4,427.44218154394025,36.537536211737034
0.2,5,454.10925854279054,43.59503466697987
0.2,6,510.8951172941377,43.47754082492954
0.2,7,385.63503748223036,34.96611700025288
0.2,8,411.5641482348083,52.375495894319755
0.2,9,428.14814285270114,39.029699579993746
0.2,10,412.03133795357735,40.913350371322835
0.2,11,438.57933277145236,43.69896572817053
0.2,12,382.1806013934847,42.53233879995138
0.2,13,473.0150476446965,45.701941625059526
0.2,14,492.79449759043644,34.31319020292525
0.2,15,420.9383284260254,56.10281052433932
0.2,16,474.50849386475306,50.19007834429432
0.2,17,397.1259249847839,38.62528758328742
0.2,18,402.52201736054496,28.300228744506366
0.2,19,526.3803467662232,56.53088901007406
0.2,20,467.67934994358683,52.781398837080104
0.2,21,501.8258222131248,42.780629322131944
0.2,22,418.1378541615695,42.16502904459284
0.2,23,361.2156320848709,30.498276737868974
0.2,24,466.8149306459255,45.258457257870866
0.2,25,337.60908785831475,40.44727584729422
0.2,26,467.01542079352436,49.91097062536351
0.2,27,430.02107517110244,43.00117208275552
0.2,28,523.5106879973704,47.057797471264884
0.2,29,463.5036815856257,41.303635182378265
0.2,30,480.3527352210897,34.74290885585724
0.2,31,483.00597245887894,42.11320407526556
0.2,32,510.2545513575033,37.62620704633884
0.2,33,383.1352842944402,27.64392745498208
0.2,34,502.2014444706697,45.680984617849845
0.2,35,562.2160746860098,58.38412161806924
0.2,36,445.5731424832626,46.07312504359674
0.2,37,492.6746865939537,59.63515664516724
0.2,38,519.4896248557988,58.43760517153331
0.2,39,525.3061251467776,51.189182007070485
0.2,40,473.7298489319182,36.38040165705154
0.2,41,516.9435990579564,49.10814058950596
0.2,42,423.84549807972155,51.29722116332094
0.3,1,432.56121687683196,43.21496106055991
0.3,2,441.5841681842405,56.452274725990314
0.3,3,471.78345666884155,56.20437111907477
0.3,4,397.3145477664392,31.342467798204183
0.3,5,444.41547635498273,51.07855714810439
0.3,6,485.60878739878723,39.360013162153884
0.3,7,387.76434790254837,34.2442942308587
0.3,8,407.10878477223383,47.51655724294576
0.3,9,399.43736517782105,39.19536587435209
0.3,10,450.0842787444586,42.12179317342859
0.3,11,448.5317253057294,37.785268510565764
0.3,12,429.5220311681355,34.49214844360722
0.3,13,473.548006246368,41.71316143162826
0.3,14,442.46229228458213,35.51520085670894
0.3,15,400.2375720291403,46.91649224212021
0.3,16,457.43781313656103,40.859638307714825
0.3,17,416.42621091560295,52.03079403749777
0.3,18,402.848048450118,40.15689101504396
0.3,19,463.84966636772003,45.855705499232606
0.3,20,464.53066590086917,51.69315061786983
0.3,21,473.43449153514854,49.09565817743053
0.3,22,398.4205216744038,41.37545100077602
0.3,23,395.7128421377401,30.629828605511626
0.3,24,463.26494084432784,48.22115751776815
0.3,25,432.0093602997655,37.59055679752608
0.3,26,465.75428762991027,61.84103284398847
0.3,27,508.24843151801196,40.65222859195378
0.3,28,466.707136725008,39.7799461453862
0.3,29,498.70818668698524,55.164848984447964
0.3,30,498.6472104198559,49.26053351131054
0.3,31,440.06435417701744,43.095581353211266
0.3,32,501.00062562009197,51.42510235369101
0.3,33,389.0927585151842,37.44217064358393
0.3,34,471.3988549564044,48.004108843351894
0.3,35,503.3290677104062,47.061168559379226
0.3,36,473.31850271362003,50.90201167752778
0.3,37,464.46663569616305,62.69347422714466
0.3,38,506.1767228276994,53.08532061299434
0.3,39,473.8264623956998,50.272294112848805
0.3,40,455.96030796828904,38.887268250376486
0.3,41,503.49878509928163,48.43072970515648
0.3,42,431.27550743844745,51.92345704385731
